MIT School of Computing,,,,,,
"ACADEMIC CALENDAR  2024-25
B. TECH. SY to Final Year, M. TECH. (FINAL YEAR) &  M.SC. (FINAL YEAR)",,Semester1,,,Semester2,
,Academic Activity,Start Date,End Date,,Start Date,End Date
,"Term Assessment -I Exam (TA-I) and Practical Based Assessment -  l(PBA)
(TA-I: TV, LY, SY: PBA-1)*",26-08-2024,30-08-2024,,17-02-2025,24-02-202
,"Practical Based Assessment -  l(PBA) and Term Assessment -I  Exam (TA-I)
(PBA-1: TV, LY, SY: TAI)*",31-09-2024,06-09-2024,,25-02-2025,04-03-2025
,"Term Assessment-II Exam (TA-II) and Practical Based Assessment -  ll(PBA)
(TA-11: TV, LY, SY: PBA-11)*",16-10-2024,22-10-2024,,15-04-2025,22-04-2025
,"Practical Based Assessment -  ll(PBA) and Term Assessment -II  Exam (TA-II)
(PBA-11: TV, LY, SY: TAIi)*",23-10-2024,05-11-2024,,23-04-2025,29-04-2025
,Unit -  V Open Assessment (MCQ)*,18-11-2024,19-11-2024,,12-05-2025,13-05-2025
,Mini-Project Examination,20-11-2024,22-11-2024,,14-05-2025,16-05-2025
,End Semester Practical Examination*,25-11-2024,02-12-2024,,19-05-2025,26-05-2025
,Regular End-Term Theory Examination,05-12-2024,16-12-2024,,29-05-2025,11-06-2025
,Backlog End Term Theory Examination,17-12-2024,23-12-2024,,12-06-2025,18-06-2025
,Declaration of Result (Tentative),30-12-2024,,,25-06-2025,
,,,,,,
".b-
Prof. Dr. Ramachandra P jeri
Pro VC, MIT ADT University",,,,,,
